"eudract_number","title","protocol_country_code","double_blind","single_blind","open","design","randomised","crossover","parallel_group","controlled","arms","active_comparator","placebo","open_gs","single_blind_gs","double_blind_gs","randomised_gs","crossover_gs","parallel_group_gs","arms_gs","controlled_gs","arms_proba0","arms_proba1","arms_orig","open_proba0","open_proba1","open_orig","double_blind_proba0","double_blind_proba1","double_blind_orig","single_blind_proba0","single_blind_proba1","single_blind_orig","controlled_proba0","controlled_proba1","controlled_orig","parallel_group_proba0","parallel_group_proba1","parallel_group_orig","crossover_proba0","crossover_proba1","crossover_orig","randomised_proba0","randomised_proba1","randomised_orig"
"2004-000232-91","GvHD prophylaxis with ATG-Fresenius S in allogenic Stem Cell Transplantation from matched unrelated donors: A randomised phase III multicenter trial comparing a standard GvHD prophylaxies with cyclosporine A and Methotrexate with additional pretransplant ATG-Fresenius S","ES","No","Yes","Yes","ok","Yes","Yes","No","Yes","2+","","","Yes","No","No","Yes","No","Yes","2+","Yes",0.2283073216676712,0.36011558771133423,"-1",0.00014177319826558232,0.9998582601547241,"Yes",0.9999309778213501,6.895947444718331e-05,"No",0.018774060532450676,0.9812259078025818,"No",0.30848926305770874,0.6915107369422913,"Yes",0.801293671131134,0.19870629906654358,"",0.2024625688791275,0.7975374460220337,"",0.015928156673908234,0.9840717911720276,"Yes"
"2004-000232-91","EICH Profilaxis con ATeGe-FRESENIUS en trasplante alogénico de progenitores hematopoyéticos procedente de donantes no emparentados","FI","Yes","Yes","No","","Yes","Yes","Yes","Yes","1","","","Yes","No","No","Yes","No","Yes","2+","Yes",0.20515306293964386,0.43085741996765137,"-1",0.9369646310806274,0.06303538382053375,"Information not present in EudraCT",0.09768882393836975,0.9023111462593079,"Information not present in EudraCT",0.014128729701042175,0.9858712553977966,"Information not present in EudraCT",0.14936776459217072,0.8506322503089905,"Yes",0.05428934097290039,0.9457107186317444,"",0.0744779035449028,0.9255220293998718,"",0.19119103252887726,0.8088089227676392,"Yes"
"2004-000232-91","GvHD prophylaxis with ATG-Fresenius S in allogenic Stem Cell Transplantation from matched unrelated donors: A randomised phase III multicenter trial comparing a standard GvHD prophylaxies with cyclosporine A and Methotrexate with additional pretransplant ATG-Fresenius S","IT","No","Yes","Yes","ok","Yes","Yes","No","Yes","2+","","","Yes","No","No","Yes","No","Yes","2+","Yes",0.2283073216676712,0.36011558771133423,"-1",0.00014177319826558232,0.9998582601547241,"Yes",0.9999309778213501,6.895947444718331e-05,"No",0.018774060532450676,0.9812259078025818,"No",0.30848926305770874,0.6915107369422913,"Yes",0.801293671131134,0.19870629906654358,"",0.2024625688791275,0.7975374460220337,"",0.015928156673908234,0.9840717911720276,"Yes"
"2004-001307-35","A prospective open label randomised parallel group comparative pilot study to study the efficacy and safety of highly purified Menotrophin versus recombinant FSH (Follitropin alfa) administered subcutaneously to subfertile female patients undergoing IVF using antagonist downregulation.","GB","No","No","Yes","ok","Yes","No","Yes","Yes","0","Yes","No","Yes","No","No","Yes","No","Yes","2+","Yes",0.44979286193847656,0.28631189465522766,"-1",4.2356696212664247e-05,0.9999576807022095,"Yes",0.9999654293060303,3.456123886280693e-05,"No",0.9883986115455627,0.01160145178437233,"No",0.0023304959759116173,0.997669517993927,"Yes",0.0002257887099403888,0.9997742772102356,"No",0.9667086005210876,0.03329138457775116,"No",0.006727190222591162,0.9932727813720703,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","GB","No","No","Yes","ok","Yes","No","Yes","Yes","0","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",0.3593041002750397,0.28493329882621765,"-1",3.505880886223167e-05,0.9999649524688721,"Yes",0.9999622106552124,3.777034726226702e-05,"No",0.9956145286560059,0.004385516978800297,"No",0.33528774976730347,0.6647123098373413,"Yes",0.1770676076412201,0.8229323625564575,"No",0.9927045702934265,0.0072954571805894375,"No",0.01974504627287388,0.9802549481391907,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","HU","No","No","Yes","ok","Yes","No","Yes","Yes","0","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",0.3593041002750397,0.28493329882621765,"-1",3.505880886223167e-05,0.9999649524688721,"Yes",0.9999622106552124,3.777034726226702e-05,"No",0.9956145286560059,0.004385516978800297,"No",0.33528774976730347,0.6647123098373413,"Yes",0.1770676076412201,0.8229323625564575,"No",0.9927045702934265,0.0072954571805894375,"No",0.01974504627287388,0.9802549481391907,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","DE","No","No","Yes","ok","Yes","No","Yes","Yes","0","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",0.3593041002750397,0.28493329882621765,"-1",3.505880886223167e-05,0.9999649524688721,"Yes",0.9999622106552124,3.777034726226702e-05,"No",0.9956145286560059,0.004385516978800297,"No",0.33528774976730347,0.6647123098373413,"Yes",0.1770676076412201,0.8229323625564575,"No",0.9927045702934265,0.0072954571805894375,"No",0.01974504627287388,0.9802549481391907,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","IT","No","No","Yes","ok","Yes","No","Yes","Yes","0","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",0.3593041002750397,0.28493329882621765,"-1",3.505880886223167e-05,0.9999649524688721,"Yes",0.9999622106552124,3.777034726226702e-05,"No",0.9956145286560059,0.004385516978800297,"No",0.33528774976730347,0.6647123098373413,"Yes",0.1770676076412201,0.8229323625564575,"No",0.9927045702934265,0.0072954571805894375,"No",0.01974504627287388,0.9802549481391907,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","BE","No","No","Yes","ok","Yes","No","Yes","Yes","0","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",0.3593041002750397,0.28493329882621765,"-1",3.505880886223167e-05,0.9999649524688721,"Yes",0.9999622106552124,3.777034726226702e-05,"No",0.9956145286560059,0.004385516978800297,"No",0.33528774976730347,0.6647123098373413,"Yes",0.1770676076412201,0.8229323625564575,"No",0.9927045702934265,0.0072954571805894375,"No",0.01974504627287388,0.9802549481391907,"Yes"
"2004-002203-32","A Multicenter Open-Label Randomized Phase III Trial Comparing Immediate Adjuvant Hormonal Therapy (ELIGARD®- leuprolide acetate) in Combination with TAXOTERE® (docetaxel) Administered Every Three Weeks Versus Hormonal Therapy Alone Versus Deferred Therapy Followed by the Same Therapeutic Options in Patients with Prostate Cancer at High Risk of Relapse After Radical Prostatectomy","AT","No","No","Yes","ok","Yes","No","Yes","Yes","0","Yes","No","Yes","No","No","Yes","No","No","2+","Yes",0.3593041002750397,0.28493329882621765,"-1",3.505880886223167e-05,0.9999649524688721,"Yes",0.9999622106552124,3.777034726226702e-05,"No",0.9956145286560059,0.004385516978800297,"No",0.33528774976730347,0.6647123098373413,"Yes",0.1770676076412201,0.8229323625564575,"No",0.9927045702934265,0.0072954571805894375,"No",0.01974504627287388,0.9802549481391907,"Yes"
