"celery","code","eggs","gluten","ingredients","lupin","milk","mustard","new_lang","nuts","peanut","sesame","source","soy","nuts_gs","milk_gs","gluten_gs","soy_gs","peanut_gs","eggs_gs","nuts_proba0","nuts_proba1","nuts_orig","milk_proba0","milk_proba1","milk_orig","gluten_proba0","gluten_proba1","gluten_orig","soy_proba0","soy_proba1","soy_orig","peanut_proba0","peanut_proba1","peanut_orig","eggs_proba0","eggs_proba1","eggs_orig"
0.0,4104420006065.0,1,2,"Duits: Hartweizengrieß; Tomatenpulver 1%; Spinatpulver 1%. Allergenen: Gluten Sporen: Eieren; Soja",0.0,0,0.0,"german: durum wheat; tomato 1%; spinach powder 1%. allergen: gluten traces: eggs; soy bean",0,0,0.0,"alnatura",1,0.0,0.0,2.0,1.0,0.0,1.0,0.9959503412246704,0.003446934511885047,0.0,0.9985688924789429,0.00047446132521145046,0.0,0.0006688404246233404,0.000774821441154927,2.0,0.003263401798903942,0.9956417083740234,1.0,0.9993550181388855,0.0002943284926004708,0.0,0.09318319708108902,0.906205952167511,1.0
0.0,4104420006065.0,1,2,"Duits: Hartweizengrieß; Tomatenpulver 1%; Spinatpulver 1%. Allergenen: Gluten Sporen: Eieren; Soja",0.0,0,0.0,"german: durum wheat; tomato 1%; spinach powder 1%. allergen: gluten traces: eggs; soy bean",0,0,0.0,"open_food_facts",1,0.0,0.0,2.0,1.0,0.0,1.0,0.9959503412246704,0.003446934511885047,0.0,0.9985688924789429,0.00047446132521145046,0.0,0.0006688404246233404,0.000774821441154927,2.0,0.003263401798903942,0.9956417083740234,1.0,0.9993550181388855,0.0002943284926004708,0.0,0.09318319708108902,0.906205952167511,1.0
0.0,4104420007963.0,0,0,"Frans: Chocolat au lait* 38 % (sucre de canne brut*; beurre de cacao*; poudre de lait entier*; pâte de cacao*); noix de cajou*; grillées 35 %; praliné 24 % (sucre de canne brut*; noisettes* 38 %; pâte de cacao*; beurre de cacao*); sucre de canne brut* Allergenen: Melk; Noten",0.0,2,0.0,"frans: chocolat of lait* 38 % (sugar of cane brut*; butter of cacao*; powder of lait entire*; dough of cacao*); nut of cashew*; grilled 35 %; praline 24 % (sugar of cane brut*; hazelnut* 38 %; dough of cacao*; butter of cacao*); sugar of cane brut* allergen: milk; nuts",1,0,0.0,"alnatura",0,2.0,2.0,1.0,1.0,0.0,0.0,0.0018072744132950902,0.9964112639427185,2.0,0.0004522532399278134,0.000582495064008981,2.0,0.9900857210159302,0.008244499564170837,1.0,0.9987844824790955,0.0005593925016000867,1.0,0.9993727803230286,0.0003150349366478622,0.0,0.9996011853218079,0.00021389998437371105,0.0
0.0,4104420007963.0,0,1,"Zutaten / Inhaltsstoffe: Vollmilchschokolade* 39% (Rohrohrzucker*; Kakaobutter*; Vollmilchpulver*; Kakaomasse*); Nougat* 26% (Rohrohrzucker*; Haselnüsse* 22%; Kakaomasse*; Kakobutter*) geröstete Cashewkerne* 19%; geröstete Macadamianüsse* 13%; Rohrohrzucker*. *aus ökologischer Landwirtschaft. Kann Spuren von erdnüssen und Gluten enthalten.","",2,0.0,"ingredients / Inhaltsstoffe: whole milk chocolate* 39% (pipe sugar*; cocoa butter*; milk powder*; cocoa*); nougat* 26% (pipe sugar*; hazelnuts* 22%; cocoa*; Kakobutter*) geröstete cashew seeds* 19%; geröstete macadamia nuts* 13%; pipe sugar*. *out of ecological agriculture. can traces von peanut and gluten contain.",2,0,"","dasistdrin",0,2.0,2.0,1.0,1.0,0.0,0.0,0.0014299008762463927,0.0014624196337535977,2.0,0.0006779844989068806,0.00043181341607123613,2.0,0.0005401787930168211,0.9990598559379578,1.0,0.9656999707221985,0.027433127164840698,0.0,0.9966273903846741,0.0019858605228364468,1.0,0.999586284160614,0.00017834987374953926,0.0
0.0,4104420007963.0,0,0,"Frans: Chocolat au lait* 38 % (sucre de canne brut*; beurre de cacao*; poudre de lait entier*; pâte de cacao*); noix de cajou*; grillées 35 %; praliné 24 % (sucre de canne brut*; noisettes* 38 %; pâte de cacao*; beurre de cacao*); sucre de canne brut* Allergenen: Melk; Noten",0.0,2,0.0,"frans: chocolat of lait* 38 % (sugar of cane brut*; butter of cacao*; powder of lait entire*; dough of cacao*); nut of cashew*; grilled 35 %; praline 24 % (sugar of cane brut*; hazelnut* 38 %; dough of cacao*; butter of cacao*); sugar of cane brut* allergen: milk; nuts",1,0,0.0,"open_food_facts",0,2.0,2.0,1.0,1.0,0.0,0.0,0.0018072744132950902,0.9964112639427185,2.0,0.0004522532399278134,0.000582495064008981,0.0,0.9900857210159302,0.008244499564170837,0.0,0.9987844824790955,0.0005593925016000867,0.0,0.9993727803230286,0.0003150349366478622,0.0,0.9996011853218079,0.00021389998437371105,0.0
0.0,4104420007987.0,1,2,"Duits: Rohrohrzucker; Zartbitterschokolade 20% (Kakaomasse; Rohrohrzucker; Kakaobutter);Hühnereiweiß; Weizenvollkornmehl; Marzipan (Mandeln 65%; Rohrohrzucker; Wasser; Invertzuckersirup); Roggenvollkornmehl; Vollei; Honig; Mandeln 5%; Orangenschalen kandiert (Glukose-Fruktose-Sirup; Orangenschalen; Zitronensaft); Backoblaten (Weizenmehl; Kartoffelstärke); Zuckerrübensirup; Agavendicksaft; Haselnüsse; Apfelfaser; Süßlupinenmehl; Lebkuchengewürze; Verdickungsmittel: Guarkernmehl; Meersalz Allergenen: Eieren; Gluten; Lupine; Noten Sporen: Melk; Noten; Soja",2.0,1,0.0,"german: pipe sugar; daring chocolate 20% (cocoa; pipe sugar; cocoa butter);chicken; full grain flour; marzipan (almond 65%; pipe sugar; water; invert sugar syrup); ryean and; volleyy; honig; almond 5%; oranga candied (Glukose-Fruktose-Sirup; oranga; lemon juice); baking (wheat flour; potato strength); sugar beet syrup; agave syrup; hazelnuts; apfelfaser; sweet lupine flour; gingerbread spices; thickener: guar gum; sea-salt allergen: eggs; gluten; lupine; nuts traces: milk; nuts; soy bean",2,1,0.0,"alnatura",1,2.0,1.0,2.0,1.0,0.0,2.0,0.0012569611426442862,0.0013111151056364179,2.0,0.00043127770186401904,0.9989719390869141,1.0,0.001047035213559866,0.0006555456784553826,2.0,0.0009813375072553754,0.9985882639884949,1.0,0.07041387259960175,0.9290686249732971,0.0,0.00043226967682130635,0.9991068243980408,2.0
0.0,4104420007987.0,1,2,"Duits: Rohrohrzucker; Zartbitterschokolade 20% (Kakaomasse; Rohrohrzucker; Kakaobutter);Hühnereiweiß; Weizenvollkornmehl; Marzipan (Mandeln 65%; Rohrohrzucker; Wasser; Invertzuckersirup); Roggenvollkornmehl; Vollei; Honig; Mandeln 5%; Orangenschalen kandiert (Glukose-Fruktose-Sirup; Orangenschalen; Zitronensaft); Backoblaten (Weizenmehl; Kartoffelstärke); Zuckerrübensirup; Agavendicksaft; Haselnüsse; Apfelfaser; Süßlupinenmehl; Lebkuchengewürze; Verdickungsmittel: Guarkernmehl; Meersalz Allergenen: Eieren; Gluten; Lupine; Noten Sporen: Melk; Noten; Soja",2.0,1,0.0,"german: pipe sugar; daring chocolate 20% (cocoa; pipe sugar; cocoa butter);chicken; full grain flour; marzipan (almond 65%; pipe sugar; water; invert sugar syrup); ryean and; volleyy; honig; almond 5%; oranga candied (Glukose-Fruktose-Sirup; oranga; lemon juice); baking (wheat flour; potato strength); sugar beet syrup; agave syrup; hazelnuts; apfelfaser; sweet lupine flour; gingerbread spices; thickener: guar gum; sea-salt allergen: eggs; gluten; lupine; nuts traces: milk; nuts; soy bean",2,1,0.0,"open_food_facts",1,2.0,1.0,2.0,1.0,0.0,2.0,0.0012569611426442862,0.0013111151056364179,2.0,0.00043127770186401904,0.9989719390869141,1.0,0.001047035213559866,0.0006555456784553826,2.0,0.0009813375072553754,0.9985882639884949,1.0,0.07041387259960175,0.9290686249732971,0.0,0.00043226967682130635,0.9991068243980408,2.0
0.0,4104420010628.0,0,1,"Duits: Gelbe Linsen; Sonnenblumenöl Sporen: Gluten; Noten; Pinda; Sesamzaad",0.0,0,0.0,"german: yellow lenses; sunflower oil traces: gluten; nuts; peanut; sesame seed",1,0,2.0,"alnatura",0,1.0,0.0,1.0,0.0,1.0,0.0,0.002336706966161728,0.996778666973114,2.0,0.9987047910690308,0.0005207188078202307,0.0,0.012098144739866257,0.9820173382759094,2.0,0.9990336894989014,0.00044390378752723336,0.0,0.9982383251190186,0.0005138031556271017,2.0,0.9996353387832642,0.0001697792176855728,0.0
0.0,4104420010628.0,0,1,"Zutaten / Inhaltsstoffe: Gelbe Linsen*; Sonnenblumenöl*. Kann Spuren von erdnüssen; anderen Nüssen; Sesam und Gluten enthalten. * aus ökologischer Landwirtschaft ** aus biologisch-dynamischer Landwirtschaft","",0,0.0,"ingredients / Inhaltsstoffe: yellow lenses*; sunflower oil*. can traces von peanut; others nuts; sesame and gluten contain. * out of ecological agriculture ** out of biologisch-dynamischer agriculture",1,1,"","dasistdrin",0,1.0,0.0,1.0,0.0,1.0,0.0,0.0023697700817137957,0.9961627721786499,1.0,0.9986283779144287,0.0006206279504112899,0.0,0.0004871668352279812,0.9990978240966797,1.0,0.9976832866668701,0.001573546207509935,0.0,0.00018949330842588097,0.9993657469749451,1.0,0.9996418952941895,0.00016954974853433669,0.0
0.0,4104420010628.0,0,1,"Duits: Gelbe Linsen; Sonnenblumenöl Sporen: Gluten; Noten; Pinda; Sesamzaad",0.0,0,0.0,"german: yellow lenses; sunflower oil traces: gluten; nuts; peanut; sesame seed",1,0,0.0,"open_food_facts",0,1.0,0.0,1.0,0.0,1.0,0.0,0.002336706966161728,0.996778666973114,0.0,0.9987047910690308,0.0005207188078202307,0.0,0.012098144739866257,0.9820173382759094,0.0,0.9990336894989014,0.00044390378752723336,0.0,0.9982383251190186,0.0005138031556271017,0.0,0.9996353387832642,0.0001697792176855728,0.0
